id,amenity
86670,Dedicated workspace
86670,Oven
86670,Ethernet connection
86670,Canal view
86670,TV with standard cable
86670,Body soap
86670,Bed linens
86670,Shower gel
86670,Ocean view
86670,Dining table
86670,Sea view
86670,Washer
86670,Paid parking off premises
86670,Lockbox
86670,Coffee
86670,Hot water
86670,Hair dryer
86670,Hangers
86670,Coffee maker
86670,Wine glasses
86670,Room-darkening shades
86670,Blender
86670,Refrigerator
86670,Freezer
86670,Essentials
86670,Ceiling fan
86670,Kitchen
86670,Iron
86670,Window AC unit
86670,Park view
86670,Drying rack for clothing
86670,Stove
86670,Wifi
86670,Dishes and silverware
86670,Cooking basics
86670,Clothing storage: wardrobe
86670,Microwave
86670,Beach view
86670,Cleaning products
86670,Elevator
86670,Beach access – Beachfront
86670,Self check-in
99971,Dedicated workspace
99971,Oven
99971,Building staff
99971,TV with standard cable
99971,Body soap
99971,Bed linens
99971,Clothing storage
99971,Dining table
99971,Ocean view
99971,Induction stove
99971,Sea view
99971,Waterfront
99971,Hot water
99971,Hair dryer
99971,Hangers
99971,Coffee maker
99971,Wine glasses
99971,Room-darkening shades
99971,AC - split type ductless system
99971,Refrigerator
99971,Essentials
99971,Pets allowed
99971,Kitchen
99971,City skyline view
99971,Long term stays allowed
99971,Iron
99971,Drying rack for clothing
99971,Books and reading material
99971,Dishes and silverware
99971,Cooking basics
99971,Toaster
99971,Private entrance
99971,Fast wifi – 101 Mbps
99971,Beach view
99971,Cleaning products
99971,Extra pillows and blankets
99971,Free parking on premises
99971,Elevator
99971,Beach access – Beachfront
99971,Self check-in
340432,Washer
340432,Pack ’n play/Travel crib
340432,Air conditioning
340432,Essentials
340432,Host greets you
340432,Free street parking
340432,Fire extinguisher
340432,Iron
340432,Luggage dropoff allowed
340432,Wifi
340432,Refrigerator
340432,TV with standard cable
340432,Crib
340432,Cooking basics
340432,Hot water
340432,Kitchen
340432,Coffee maker
340432,Long term stays allowed
340432,Microwave
340432,Extra pillows and blankets
340432,Hair dryer
340432,Free parking on premises
340432,Hangers
340432,Private patio or balcony
340432,Elevator
340432,Dishes and silverware
137002,Pack ’n play/Travel crib
137002,Oven
137002,Building staff
137002,TV with standard cable
137002,Bed linens
137002,Clothing storage
137002,Washer
137002,Hot water
137002,Hair dryer
137002,Dryer
137002,Coffee maker
137002,Refrigerator
137002,Essentials
137002,Kitchen
137002,Iron
137002,Stove
137002,Wifi
137002,Dishes and silverware
137002,Toaster
137002,Microwave
137002,Crib
137002,Free parking on premises
137002,Elevator
137002,Self check-in
137002,Air conditioning
137048,Dedicated workspace
137048,Private patio or balcony
137048,Oven
137048,TV with standard cable
137048,Smoking allowed
137048,Bed linens
137048,Host greets you
137048,Washer
137048,Hot water
137048,Hair dryer
137048,Hangers
137048,Coffee maker
137048,Refrigerator
137048,Exterior security cameras on property
137048,Essentials
137048,Kitchen
137048,Long term stays allowed
137048,Iron
137048,Stove
137048,Wifi
137048,Dishes and silverware
137048,Cooking basics
137048,Microwave
137048,Extra pillows and blankets
137048,Air conditioning
