id,name,host_id,host_is_superhost,neighbourhood_cleansed,property_type,amenities,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,amenities_list
86670,Leblon/Recém reformado-Vista fantástica!,474221,True,Leblon,Entire rental unit,"[""Dedicated workspace"", ""Oven"", ""Ethernet connection"", ""Canal view"", ""TV with standard cable"", ""Body soap"", ""Bed linens"", ""Shower gel"", ""Ocean view"", ""Dining table"", ""Sea view"", ""Washer"", ""Paid parking off premises"", ""Lockbox"", ""Coffee"", ""Hot water"", ""Hair dryer"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Room-darkening shades"", ""Blender"", ""Refrigerator"", ""Freezer"", ""Essentials"", ""Ceiling fan"", ""Kitchen"", ""Iron"", ""Window AC unit"", ""Park view"", ""Drying rack for clothing"", ""Stove"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Clothing storage: wardrobe"", ""Microwave"", ""Beach view"", ""Cleaning products"", ""Elevator"", ""Beach access \u2013 Beachfront"", ""Self check-in""]",,4.7,4.67,4.71,4.77,4.66,4.92,4.45,"['Dedicated workspace', 'Oven', 'Ethernet connection', 'Canal view', 'TV with standard cable', 'Body soap', 'Bed linens', 'Shower gel', 'Ocean view', 'Dining table', 'Sea view', 'Washer', 'Paid parking off premises', 'Lockbox', 'Coffee', 'Hot water', 'Hair dryer', 'Hangers', 'Coffee maker', 'Wine glasses', 'Room-darkening shades', 'Blender', 'Refrigerator', 'Freezer', 'Essentials', 'Ceiling fan', 'Kitchen', 'Iron', 'Window AC unit', 'Park view', 'Drying rack for clothing', 'Stove', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Clothing storage: wardrobe', 'Microwave', 'Beach view', 'Cleaning products', 'Elevator', 'Beach access – Beachfront', 'Self check-in']"
99971,Right in front of the beach in Rio!,525976,True,Leblon,Entire loft,"[""Dedicated workspace"", ""Oven"", ""Building staff"", ""TV with standard cable"", ""Body soap"", ""Bed linens"", ""Clothing storage"", ""Dining table"", ""Ocean view"", ""Induction stove"", ""Sea view"", ""Waterfront"", ""Hot water"", ""Hair dryer"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Room-darkening shades"", ""AC - split type ductless system"", ""Refrigerator"", ""Essentials"", ""Pets allowed"", ""Kitchen"", ""City skyline view"", ""Long term stays allowed"", ""Iron"", ""Drying rack for clothing"", ""Books and reading material"", ""Dishes and silverware"", ""Cooking basics"", ""Toaster"", ""Private entrance"", ""Fast wifi \u2013 101 Mbps"", ""Beach view"", ""Cleaning products"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Elevator"", ""Beach access \u2013 Beachfront"", ""Self check-in""]",336.0,4.79,4.75,4.68,4.88,4.89,4.57,4.69,"['Dedicated workspace', 'Oven', 'Building staff', 'TV with standard cable', 'Body soap', 'Bed linens', 'Clothing storage', 'Dining table', 'Ocean view', 'Induction stove', 'Sea view', 'Waterfront', 'Hot water', 'Hair dryer', 'Hangers', 'Coffee maker', 'Wine glasses', 'Room-darkening shades', 'AC - split type ductless system', 'Refrigerator', 'Essentials', 'Pets allowed', 'Kitchen', 'City skyline view', 'Long term stays allowed', 'Iron', 'Drying rack for clothing', 'Books and reading material', 'Dishes and silverware', 'Cooking basics', 'Toaster', 'Private entrance', 'Fast wifi – 101 Mbps', 'Beach view', 'Cleaning products', 'Extra pillows and blankets', 'Free parking on premises', 'Elevator', 'Beach access – Beachfront', 'Self check-in']"
340432,Beautiful Apartment in Leblon,1450861,True,Leblon,Entire rental unit,"[""Washer"", ""Pack \u2019n play/Travel crib"", ""Air conditioning"", ""Essentials"", ""Host greets you"", ""Free street parking"", ""Fire extinguisher"", ""Iron"", ""Luggage dropoff allowed"", ""Wifi"", ""Refrigerator"", ""TV with standard cable"", ""Crib"", ""Cooking basics"", ""Hot water"", ""Kitchen"", ""Coffee maker"", ""Long term stays allowed"", ""Microwave"", ""Extra pillows and blankets"", ""Hair dryer"", ""Free parking on premises"", ""Hangers"", ""Private patio or balcony"", ""Elevator"", ""Dishes and silverware""]",230.0,4.85,4.85,4.93,4.93,4.89,4.95,4.72,"['Washer', 'Pack ’n play/Travel crib', 'Air conditioning', 'Essentials', 'Host greets you', 'Free street parking', 'Fire extinguisher', 'Iron', 'Luggage dropoff allowed', 'Wifi', 'Refrigerator', 'TV with standard cable', 'Crib', 'Cooking basics', 'Hot water', 'Kitchen', 'Coffee maker', 'Long term stays allowed', 'Microwave', 'Extra pillows and blankets', 'Hair dryer', 'Free parking on premises', 'Hangers', 'Private patio or balcony', 'Elevator', 'Dishes and silverware']"
137002,Leblon House Very sophisticated in the mettle of L,635510,True,Leblon,Entire rental unit,"[""Pack \u2019n play/Travel crib"", ""Oven"", ""Building staff"", ""TV with standard cable"", ""Bed linens"", ""Clothing storage"", ""Washer"", ""Hot water"", ""Hair dryer"", ""Dryer"", ""Coffee maker"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Iron"", ""Stove"", ""Wifi"", ""Dishes and silverware"", ""Toaster"", ""Microwave"", ""Crib"", ""Free parking on premises"", ""Elevator"", ""Self check-in"", ""Air conditioning""]",887.0,4.95,4.9,4.9,4.95,5.0,5.0,4.74,"['Pack ’n play/Travel crib', 'Oven', 'Building staff', 'TV with standard cable', 'Bed linens', 'Clothing storage', 'Washer', 'Hot water', 'Hair dryer', 'Dryer', 'Coffee maker', 'Refrigerator', 'Essentials', 'Kitchen', 'Iron', 'Stove', 'Wifi', 'Dishes and silverware', 'Toaster', 'Microwave', 'Crib', 'Free parking on premises', 'Elevator', 'Self check-in', 'Air conditioning']"
137048,Charming 2 bedroom flat in Leblon,670198,False,Leblon,Entire rental unit,"[""Dedicated workspace"", ""Private patio or balcony"", ""Oven"", ""TV with standard cable"", ""Smoking allowed"", ""Bed linens"", ""Host greets you"", ""Washer"", ""Hot water"", ""Hair dryer"", ""Hangers"", ""Coffee maker"", ""Refrigerator"", ""Exterior security cameras on property"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Iron"", ""Stove"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Microwave"", ""Extra pillows and blankets"", ""Air conditioning""]",361.0,4.85,4.97,4.76,4.97,4.98,4.98,4.87,"['Dedicated workspace', 'Private patio or balcony', 'Oven', 'TV with standard cable', 'Smoking allowed', 'Bed linens', 'Host greets you', 'Washer', 'Hot water', 'Hair dryer', 'Hangers', 'Coffee maker', 'Refrigerator', 'Exterior security cameras on property', 'Essentials', 'Kitchen', 'Long term stays allowed', 'Iron', 'Stove', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Microwave', 'Extra pillows and blankets', 'Air conditioning']"
396849,Ff702| 3 bedrooms in Leblon,1982737,False,Leblon,Entire rental unit,"[""Dedicated workspace"", ""Smart lock"", ""Oven"", ""TV"", ""Bed linens"", ""Hot water"", ""Hair dryer"", ""Coffee maker"", ""Refrigerator"", ""Freezer"", ""Essentials"", ""Pets allowed"", ""Kitchen"", ""Iron"", ""Window AC unit"", ""Free washer \u2013 In unit"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Toaster"", ""Consul gas stove"", ""Microwave"", ""Free parking on premises"", ""Elevator"", ""Beach access \u2013 Beachfront"", ""Self check-in""]",279.0,4.73,4.8,4.69,4.84,4.87,4.94,4.57,"['Dedicated workspace', 'Smart lock', 'Oven', 'TV', 'Bed linens', 'Hot water', 'Hair dryer', 'Coffee maker', 'Refrigerator', 'Freezer', 'Essentials', 'Pets allowed', 'Kitchen', 'Iron', 'Window AC unit', 'Free washer – In unit', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Toaster', 'Consul gas stove', 'Microwave', 'Free parking on premises', 'Elevator', 'Beach access – Beachfront', 'Self check-in']"
422804,"Nice Apartment,Great Location for a Couple",2102517,False,Leblon,Entire rental unit,"[""Smart lock"", ""Washer"", ""Elevator"", ""Kitchen"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Wifi"", ""Lake access"", ""TV with standard cable"", ""Beach access \u2013 Beachfront""]",475.0,5.0,4.75,5.0,5.0,5.0,5.0,5.0,"['Smart lock', 'Washer', 'Elevator', 'Kitchen', 'Private entrance', 'Self check-in', 'Air conditioning', 'Wifi', 'Lake access', 'TV with standard cable', 'Beach access – Beachfront']"
438767,Hot spot  in Leblon/Rio,530231,True,Leblon,Entire rental unit,"[""Body soap"", ""Bathtub"", ""32 inch TV with standard cable"", ""Host greets you"", ""Paid parking off premises"", ""Hot water"", ""Hair dryer"", ""Hangers"", ""Coffee maker"", ""Room-darkening shades"", ""Refrigerator"", ""Essentials"", ""Ceiling fan"", ""Fire extinguisher"", ""Kitchen"", ""City skyline view"", ""Iron"", ""Drying rack for clothing"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Elevator"", ""Beach access \u2013 Beachfront"", ""Air conditioning""]",508.0,4.67,4.65,4.4,4.95,4.95,4.4,4.45,"['Body soap', 'Bathtub', '32 inch TV with standard cable', 'Host greets you', 'Paid parking off premises', 'Hot water', 'Hair dryer', 'Hangers', 'Coffee maker', 'Room-darkening shades', 'Refrigerator', 'Essentials', 'Ceiling fan', 'Fire extinguisher', 'Kitchen', 'City skyline view', 'Iron', 'Drying rack for clothing', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Elevator', 'Beach access – Beachfront', 'Air conditioning']"
490098,"Stunning Studio in Rio, steps from the beach!",2423945,False,Leblon,Entire rental unit,"[""Mini fridge"", ""Dedicated workspace"", ""Oven"", ""Building staff"", ""TV with standard cable"", ""Body soap"", ""Bed linens"", ""Shampoo"", ""Dining table"", ""Bidet"", ""Beach essentials"", ""Coffee"", ""Hot water"", ""Hair dryer"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Room-darkening shades"", ""Blender"", ""AC - split type ductless system"", ""Refrigerator"", ""Freezer"", ""Essentials"", ""Ceiling fan"", ""Fire extinguisher"", ""Kitchen"", ""Single level home"", ""Hot water kettle"", ""Long term stays allowed"", ""Iron"", ""Courtyard view"", ""Fast wifi \u2013 369 Mbps"", ""Drying rack for clothing"", ""Shared beach access"", ""Conditioner"", ""Clothing storage: wardrobe and dresser"", ""Free washer \u2013 In unit"", ""Books and reading material"", ""Dishes and silverware"", ""Cooking basics"", ""Toaster"", ""Free street parking"", ""Microwave"", ""Safe"", ""Cleaning products"", ""Extra pillows and blankets"", ""Elevator"", ""Brastemp stainless steel gas stove"", ""Self check-in""]",470.0,4.92,4.93,4.86,4.82,4.91,4.98,4.77,"['Mini fridge', 'Dedicated workspace', 'Oven', 'Building staff', 'TV with standard cable', 'Body soap', 'Bed linens', 'Shampoo', 'Dining table', 'Bidet', 'Beach essentials', 'Coffee', 'Hot water', 'Hair dryer', 'Hangers', 'Coffee maker', 'Wine glasses', 'Room-darkening shades', 'Blender', 'AC - split type ductless system', 'Refrigerator', 'Freezer', 'Essentials', 'Ceiling fan', 'Fire extinguisher', 'Kitchen', 'Single level home', 'Hot water kettle', 'Long term stays allowed', 'Iron', 'Courtyard view', 'Fast wifi – 369 Mbps', 'Drying rack for clothing', 'Shared beach access', 'Conditioner', 'Clothing storage: wardrobe and dresser', 'Free washer – In unit', 'Books and reading material', 'Dishes and silverware', 'Cooking basics', 'Toaster', 'Free street parking', 'Microwave', 'Safe', 'Cleaning products', 'Extra pillows and blankets', 'Elevator', 'Brastemp stainless steel gas stove', 'Self check-in']"
273496,Luxury Accommodation in Hip Leblon,4022675,False,Leblon,Entire rental unit,"[""Dedicated workspace"", ""Oven"", ""TV"", ""Bed linens"", ""Bathtub"", ""Host greets you"", ""Washer"", ""Window guards"", ""Paid parking off premises"", ""Hot water"", ""Hair dryer"", ""Hangers"", ""Coffee maker"", ""Refrigerator"", ""Dishwasher"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Iron"", ""Private hot tub"", ""Stove"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Microwave"", ""Air conditioning""]",542.0,4.81,4.81,4.56,4.79,4.94,5.0,4.61,"['Dedicated workspace', 'Oven', 'TV', 'Bed linens', 'Bathtub', 'Host greets you', 'Washer', 'Window guards', 'Paid parking off premises', 'Hot water', 'Hair dryer', 'Hangers', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Essentials', 'Kitchen', 'Long term stays allowed', 'Iron', 'Private hot tub', 'Stove', 'Wifi', 'Dishes and silverware', 'Cooking basics', 'Microwave', 'Air conditioning']"
